Zip,Score
01001,1.19
01002,2.03
01003,3.15
01005,0.85
01007,1.35
01008,1.02
01009,0.51
01010,0.51
01011,0.90
01012,0.90
01013,4.68
01020,3.12
01022,3.52
01026,0.90
01027,2.05
01028,2.02
01029,0.85
01030,1.19
01031,0.85
01032,0.90
01033,2.49
01034,1.02
01035,1.82
01036,1.11
01037,0.85
01038,2.27
01039,0.90
01040,4.12
01050,1.34
01053,2.27
01054,0.90
01056,1.83
01057,0.81
01060,2.27
01062,2.27
01063,2.27
01066,2.27
01068,0.85
01069,0.81
01070,0.90
01071,0.85
01072,0.90
01073,2.27
01074,0.85
01075,2.49
01077,1.19
01079,0.51
01080,0.51
01081,0.51
01082,0.68
01083,0.51
01084,0.90
01085,2.06
01086,1.85
01088,2.27
01089,3.73
01092,0.51
01093,0.90
01094,0.85
01095,1.72
01096,0.90
01097,0.85
01098,0.90
01103,6.78
01104,5.02
01105,6.17
01106,3.95
01107,4.84
01108,5.08
01109,4.78
01118,4.16
01119,3.79
01128,3.46
01129,2.92
01151,2.92
01199,4.00
01201,1.71
01220,1.50
01222,0.85
01223,0.85
01224,1.50
01225,1.50
01226,1.30
01229,0.85
01230,0.85
01235,1.08
01236,0.85
01237,1.50
01238,0.85
01240,0.85
01242,0.85
01243,0.90
01244,0.85
01245,0.85
01247,1.50
01253,0.85
01254,0.85
01255,0.85
01256,1.30
01257,0.85
01258,0.85
01259,0.85
01260,0.85
01262,0.85
01264,0.85
01266,0.85
01267,1.50
01270,1.30
01301,1.30
01330,0.90
01331,0.86
01337,1.30
01338,0.90
01339,1.10
01340,1.30
01341,0.90
01342,0.90
01343,1.50
01344,0.86
01346,1.30
01347,0.90
01349,0.88
01350,1.30
01351,0.90
01354,0.86
01355,0.88
01360,1.30
01364,0.86
01366,0.86
01367,1.30
01368,0.86
01370,1.10
01373,0.90
01375,0.90
01376,0.90
01378,0.86
01379,0.86
01420,2.49
01430,1.36
01431,0.28
01432,0.67
01434,0.67
01436,0.86
01438,0.86
01440,1.11
01450,0.28
01451,1.06
01452,0.85
01453,1.46
01460,0.91
01462,2.35
01463,0.28
01464,1.06
01467,1.06
01468,0.86
01469,0.28
01473,0.74
01474,0.28
01475,1.36
01501,2.54
01503,0.15
01504,0.75
01505,0.15
01506,0.85
01507,1.81
01510,0.15
01515,0.85
01516,0.85
01518,0.51
01519,0.22
01520,0.11
01521,0.51
01522,0.11
01523,0.15
01524,4.94
01525,0.22
01527,2.54
01529,0.75
01531,0.85
01532,1.02
01534,0.22
01535,0.85
01536,1.11
01537,2.54
01540,1.75
01541,0.11
01542,3.74
01543,0.11
01545,3.82
01550,1.08
01560,0.22
01561,0.15
01562,0.97
01564,0.13
01566,0.51
01568,0.22
01569,0.49
01570,0.95
01571,1.08
01581,1.74
01583,5.64
01585,0.68
01588,0.64
01590,0.95
01602,4.76
01603,5.50
01604,4.68
01605,5.79
01606,5.11
01607,4.30
01608,6.61
01609,5.87
01610,6.05
01611,4.94
01612,0.11
01701,2.75
01702,3.87
01718,1.51
01719,1.06
01720,1.29
01721,4.68
01730,5.07
01731,5.07
01740,0.00
01741,1.51
01742,1.51
01745,1.34
01746,1.34
01747,0.39
01748,1.34
01749,0.00
01752,1.39
01754,0.00
01756,0.57
01757,0.31
01760,2.57
01770,4.25
01772,1.34
01773,3.77
01775,0.00
01776,0.89
01778,3.07
01801,3.89
01803,4.12
01810,3.18
01821,1.79
01824,2.73
01826,1.53
01827,0.28
01830,2.50
01832,3.35
01833,0.99
01834,0.99
01835,2.30
01840,5.48
01841,4.73
01843,4.73
01844,3.47
01845,2.55
01850,4.53
01851,5.22
01852,4.53
01854,3.27
01860,0.99
01862,2.01
01863,2.04
01864,0.85
01867,3.15
01876,2.04
01879,1.53
01880,6.47
01886,0.91
01887,3.17
01890,5.32
01901,7.52
01902,7.09
01904,6.75
01905,7.52
01906,7.00
01907,6.49
01908,7.40
01913,2.24
01915,4.58
01921,1.43
01922,0.99
01923,1.47
01929,3.97
